site,name,price,url,sizes,availability,description
princesspolly,Ameliah Tassel Heels Brown,USD $65.00 0 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/ameliah-tassel-heels-brown,"SHOE US 5, SHOE US 6, SHOE US 7, SHOE US 8, SHOE US 9, SHOE US 10, US 5, US 6, US 7, US 8, US 9, US 10",,"Tassel heels Almond toe, thong-style, slip-on style, open back 100% PU"
princesspolly,Coralie Faux Suede Belt Blue,USD $29.00 0 Reviews,https://us.princesspolly.com/products/coralie-faux-suede-belt-blue,"S/M, M/L, L/XL",,"Faux suede belt Eyelet detail, silver hardware, buckle detail, adjustable length 90% faux suede 10% zinc alloy Length of s/m belt: 99.5cm / 39.2in Length of m/l belt: 110cm / 43.3in Length of l/xl belt: 120.5cm / 47.4in"
princesspolly,Brodey Bracelet Gold / Pink,USD $20.00 0 Reviews,https://us.princesspolly.com/products/brodey-bracelet-gold-pink,ONE SIZE,in_stock,"Diamante chain bracelet Gold-tone hardware, lobster clasp fastening, adjustable length Princess Polly Lower Impact 60% reclaimed zinc alloy 30% reclaimed steel 10% glass"
princesspolly,Billini Domineca Knee High Heeled Boots Black,USD $160.00 0 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/billini-domineca-knee-high-heeled-boots-black,"SHOE US 5, SHOE US 6, SHOE US 7, SHOE US 8, SHOE US 9, SHOE US 10, US 5, US 6, US 7, US 8, US 9, US 10",,"Knee-high heeled boots Faux leather, pointed toe, diamante strap detail, stiletto heel Upper: 100% PU, Outsole: 100% rubber Heel height US 8: 8.5cm / 3.3in"
princesspolly,Therapy Laine Square Toe Ballet Flats Black,USD $69.95 0 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/therapy-laine-square-toe-ballet-flats-black,"SHOE US 5, SHOE US 6, SHOE US 7, SHOE US 8, SHOE US 9, SHOE US 10, US 5, US 6, US 7, US 8, US 9, US 10",,"Square-toe ballet flats Faux leather, bow detail, closed toe & back, slip-on design Upper: 100% fabric, Lining: 100% PU, Outsole: 100% rubber"
princesspolly,Billini Dalella Thong Heels Gold Metallic,USD $100.00 0 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/billini-dalella-thong-heels-gold-metallic,"SHOE US 5, SHOE US 6, SHOE US 7, SHOE US 8, SHOE US 9, SHOE US 10, US 5, US 6, US 7, US 8, US 9, US 10",,"Gold metallic thong heels Almond toe, slip-on style, padded footbed, stiletto heels Synthetic upper, lining & outsole Heel height US 8: 6.5cm / 2.5in"
princesspolly,Paltrow Mid Rise Wide Leg Cargo Jeans Washed Brown,USD $85.00 262 Reviews QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/paltrow-cargo-pant-washed-brown,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Belted cargo mid-rise denim pants Cream washed, hook & zip closure, side pocket detail, adjustable buckle waist, silver-toned hardware, wide-leg Non-stretch material, unlined 100% cotton Cold gentle machine wash"
princesspolly,Settle Down Long Sleeve Top Lemon / Burgundy Stripe,USD $50.00 13 Reviews 30% OFF WITH CODE: 30TOP,https://us.princesspolly.com/products/settle-down-long-sleeve-top-lemon-burgundy-stripe,"US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Long sleeve stripe top Crew neckline, drop shoulders, relaxed fit Good stretch, unlined 50% cotton 50% polyester Cold gentle machine wash"
reformation,Remy Stretch Ankle Boot,£ 348,https://www.thereformation.com/products/remy-stretch-ankle-boot/1319376BLL.html?dwvar_1319376BLL_color=BLL,"UK 2.5 Join the waitlist, UK 3 Join the waitlist, UK 3.5 Join the waitlist, UK 4 Join the waitlist, UK 4.5 Join the waitlist, UK 5 Join the waitlist, UK 5.5 Join the waitlist, UK 6 Join the waitlist, UK 6.5 Join the waitlist, UK 7 Join the waitlist, UK 7.5-8 Join the waitlist, UK 8.5 Join the waitlist, UK 9 Join the waitlist",,"Treat your feet. The Remy Stretch Ankle Boot is a stretch ankle boot with a square toe and a kitten heel. Easy, but doesn't look it."
reformation,Remy Stretch Ankle Boot,£ 348,https://www.thereformation.com/products/remy-stretch-ankle-boot/1319376BLL.html?dwvar_1319376BLL_color=KAP,"UK 2.5 Join the waitlist, UK 3 Join the waitlist, UK 3.5 Join the waitlist, UK 4 Join the waitlist, UK 4.5 Join the waitlist, UK 5 Join the waitlist, UK 5.5 Join the waitlist, UK 6 Join the waitlist, UK 6.5 Join the waitlist, UK 7 Join the waitlist, UK 7.5-8 Join the waitlist, UK 8.5 Join the waitlist, UK 9 Join the waitlist",in_stock,"Treat your feet. The Remy Stretch Ankle Boot is a stretch ankle boot with a square toe and a kitten heel. Easy, but doesn't look it."
